,Date,avg_temp,rain_mm
0,1883-01-01,4.0,122.1
1,1883-02-01,5.4,69.8
2,1883-03-01,1.5999999999999999,29.6
3,1883-04-01,8.0,74.0
4,1883-05-01,10.45,31.2
5,1883-06-01,13.5,66.2
6,1883-07-01,14.65,77.6
7,1883-08-01,15.350000000000001,32.5
8,1883-09-01,13.4,137.4
9,1883-10-01,9.55,102.9
10,1883-11-01,6.05,83.6
11,1883-12-01,4.85,48.6
12,1884-01-01,5.95,127.7
13,1884-02-01,5.05,49.4
14,1884-03-01,6.0,50.4
15,1884-04-01,6.949999999999999,48.0
16,1884-05-01,11.05,33.1
17,1884-06-01,13.45,39.7
18,1884-07-01,16.3,80.1
19,1884-08-01,17.200000000000003,36.8
20,1884-09-01,14.45,34.0
21,1884-10-01,9.3,36.5
22,1884-11-01,6.2,30.9
23,1884-12-01,4.1499999999999995,81.6
24,1885-01-01,2.5500000000000003,56.9
25,1885-02-01,5.45,76.4
26,1885-03-01,4.3,41.6
27,1885-04-01,7.5,49.5
28,1885-05-01,8.65,58.1
29,1885-06-01,13.9,76.4
30,1885-07-01,16.2,17.8
31,1885-08-01,13.25,59.5
32,1885-09-01,12.1,85.3
33,1885-10-01,7.5,172.5
34,1885-11-01,5.65,62.2
35,1885-12-01,3.95,31.9
36,1886-01-01,1.9,121.8
37,1886-02-01,1.45,14.2
38,1886-03-01,3.15,84.8
39,1886-04-01,6.85,47.5
40,1886-05-01,9.8,181.0
41,1886-06-01,12.9,26.5
42,1886-07-01,16.15,94.2
43,1886-08-01,16.25,49.7
44,1886-09-01,13.75,30.8
45,1886-10-01,10.95,125.1
46,1886-11-01,6.75,37.0
47,1886-12-01,2.2,127.7
48,1887-01-01,2.25,61.2
49,1887-02-01,4.05,13.6
50,1887-03-01,3.5999999999999996,42.5
51,1887-04-01,8.05,26.3
52,1887-05-01,8.8,46.6
53,1887-06-01,15.6,11.2
54,1887-07-01,18.15,25.2
55,1887-08-01,15.649999999999999,40.7
56,1887-09-01,11.65,57.2
57,1887-10-01,7.5,58.8
58,1887-11-01,5.1,41.0
59,1887-12-01,3.3000000000000003,66.8
60,1888-01-01,3.7,22.1
61,1888-02-01,2.0,49.5
62,1888-03-01,2.6,98.1
63,1888-04-01,5.800000000000001,52.6
64,1888-05-01,10.95,16.3
65,1888-06-01,12.649999999999999,61.8
66,1888-07-01,12.899999999999999,129.3
67,1888-08-01,14.1,61.1
68,1888-09-01,12.4,22.9
69,1888-10-01,8.15,17.4
70,1888-11-01,7.3,160.2
71,1888-12-01,5.2,52.2
72,1889-01-01,3.5,39.0
73,1889-02-01,3.3,50.8
74,1889-03-01,4.45,107.6
75,1889-04-01,6.75,92.0
76,1889-05-01,12.399999999999999,97.7
77,1889-06-01,15.25,6.1
78,1889-07-01,14.75,62.8
79,1889-08-01,15.0,69.6
80,1889-09-01,12.8,46.8
81,1889-10-01,8.35,100.1
82,1889-11-01,6.9,18.2
83,1889-12-01,3.9000000000000004,39.4
84,1890-01-01,5.449999999999999,103.7
85,1890-02-01,3.4000000000000004,21.4
86,1890-03-01,6.3,62.9
87,1890-04-01,6.4,20.8
88,1890-05-01,11.5,79.9
89,1890-06-01,13.6,48.4
90,1890-07-01,14.25,57.4
91,1890-08-01,14.4,78.2
92,1890-09-01,15.2,37.5
93,1890-10-01,10.25,37.1
