Date,facebook_impressions,bing_impressions,google_impressions,tiktok_impressions,pinterest_impressions,bing_spend,pinterest_spend,facebook_spend,google_spend,tiktok_spend,total_revenue,total_conversions,bing_revenue,google_revenue,facebook_revenue,tiktok_revenue,pinterest_revenue,Organic_impressions
2023-03-27,1359571,6987,1477958,112309.01149425287,182008,196.359996,235.642438,7089.899994,7429.480217,549.2680454942528,901995.4794,17528.65,5026.95,47428.605439,20685.79,3104.0949424827586,12599.13,177136.4347826087
2023-04-03,4364738,34788,5279337,112309.01149425287,555825,946.53,825.62044,24097.759993,27599.588344,549.2680454942528,2333270.7665,45315.71,15000.59,114571.553453,65593.97,3104.0949424827586,23473.91,177136.4347826087
2023-04-10,4223722,153226,5089586,112309.01149425287,599029,1422.519998,825.637045,22135.529985,25589.829639,549.2680454942528,2891421.0355,51899.11,13021.849999,149843.535962,70609.409999,3104.0949424827586,51390.35,177136.4347826087
2023-04-17,3296260,75495,5360297,112309.01149425287,467260,1422.849993,794.876034,21963.669983,25084.152413,549.2680454942528,2310195.1627,43781.29,15300.92,125467.000267,70025.38,3104.0949424827586,27933.69,177136.4347826087
2023-04-24,3793430,39616,4887907,112309.01149425287,315881,1415.409995,825.925,23379.339984,26221.453776,549.2680454942528,2317686.0277,40389.54,25118.38,155608.070825,75994.539999,3104.0949424827586,24773.21,177136.4347826087
2023-05-01,4157457,86652,5689027,112309.01149425287,336758,1332.659995,822.567615,23920.199981,27923.495805,549.2680454942528,2198726.4982,40091.1,14813.27,158012.038024,94019.35,3104.0949424827586,28339.87,177136.4347826087
2023-05-08,4111255,73653,4955782,112309.01149425287,419838,1484.789993,947.675703,23460.149974,25594.300055,549.2680454942528,2478412.1157,47385.35,9761.7,185574.399405,117418.89,3104.0949424827586,44023.38,177136.4347826087
2023-05-15,4111430,109086,5148251,112309.01149425287,424666,1544.989998,1000.331424,24167.579987,26801.078406,549.2680454942528,2423878.1098,50007.22,8301.61,134444.333428,80011.879999,3104.0949424827586,28235.26,177136.4347826087
2023-05-22,4082157,43934,5581049,112309.01149425287,390584,1119.769998,1001.0,25915.759984,27862.878081,549.2680454942528,2114602.3551,39678.65,21309.25,142613.826665,92868.21,3104.0949424827586,28853.27,177136.4347826087
2023-05-29,3703655,201555,5538724,112309.01149425287,330406,1815.129994,821.120332,22885.029986,30079.653542,549.2680454942528,2021941.1304,36645.65,23176.17,167681.56848,96557.399997,3104.0949424827586,19047.06,177136.4347826087
2023-06-05,3685425,602226,5992067,112309.01149425287,360789,5101.589993,790.906653,23444.61998,31662.510826,549.2680454942528,2755970.094,40827.51,21834.779999,680125.978215,95807.969997,3104.0949424827586,25592.81,177136.4347826087
2023-06-12,3392332,188873,5774658,112309.01149425287,356995,2742.849995,762.58553,22253.729984,29761.074024,549.2680454942528,2211066.7528,37593.0,17923.299999,184386.278727,78496.719999,3104.0949424827586,34762.54,177136.4347826087
2023-06-19,2771640,6964,4888770,112309.01149425287,327478,1242.849999,684.608684,20125.079986,24685.823381,549.2680454942528,2152199.6385,34511.78,13042.17,148397.586371,99326.129996,3104.0949424827586,25415.27,177136.4347826087
2023-06-26,2633980,6005,4372232,112309.01149425287,312936,1161.929999,649.027964,19021.469987,22536.6706,549.2680454942528,2109202.1685,34136.6,22535.39,100080.203561,76803.909998,3104.0949424827586,30672.69,177136.4347826087
2023-07-03,2530220,6598,4137043,112309.01149425287,326579,863.079998,627.191593,18442.979989,20305.941273,549.2680454942528,1917097.293,32509.99,8679.5,90789.433378,65022.95,3104.0949424827586,15087.9,177136.4347826087
2023-07-10,2529346,6562,3377599,112309.01149425287,316301,890.359997,610.834744,18586.369982,18784.865111,549.2680454942528,1906662.848,34753.19,7532.19,81723.031796,45748.24,3104.0949424827586,15522.92,177136.4347826087
2023-07-17,2768078,6457,3828714,112309.01149425287,333071,935.899997,628.180114,20629.449993,20622.095482,549.2680454942528,1856532.3856,30590.91,21593.86,110151.208698,47699.9,3104.0949424827586,19213.02,177136.4347826087
2023-07-24,3051225,5516,4892641,112309.01149425287,326639,879.759999,626.237942,22052.13998,27651.793559,549.2680454942528,1781842.307,30490.88,26465.18,90413.225082,78704.38,3104.0949424827586,30359.56,177136.4347826087
2023-07-31,2644360,7784,3575803,112309.01149425287,356917,796.239999,627.492633,19417.769987,21819.843444,549.2680454942528,1792017.6246,29402.16,6592.4,110211.107285,62891.739999,3104.0949424827586,18441.08,177136.4347826087
