Date,facebook_impressions,bing_impressions,google_impressions,tiktok_impressions,pinterest_impressions,bing_spend,pinterest_spend,facebook_spend,google_spend,tiktok_spend,total_revenue,total_conversions,facebook_revenue,tiktok_revenue,pinterest_revenue,Organic_impressions,bing_revenue,google_revenue,Organic_impressions_lag1,week_of_year,seasonality_sin,seasonality_cos,is_holiday_week,avg_temp,rain_mm
2023-03-27,1359571,6987,1477958,112309.01149425287,182008,196.359996,235.642438,7089.899994,7429.480217,549.2680454942528,85739.4754,17528.65,20685.79,3104.0949424827586,12599.13,177136.4347826087,5026.95,47427.605439,177645.7048264858,13,1.0,-1.6081226496766366e-16,0,7.0,110.2
2023-04-03,4364738,34788,5279337,112309.01149425287,555825,946.53,825.62044,24097.759993,27599.588344,549.2680454942528,218566.0235,45315.71,65593.97,3104.0949424827586,23473.91,177136.4347826087,15000.59,114497.553453,177136.4347826087,14,0.992708874098054,-0.1205366802553228,1,8.9,63.8
2023-04-10,4223722,153226,5089586,112309.01149425287,599029,1422.519998,825.637045,22135.529985,25589.829639,549.2680454942528,284758.146,51899.11,70609.409999,3104.0949424827586,51390.35,177136.4347826087,13021.849999,149736.535962,177136.4347826087,15,0.970941817426052,-0.2393156642875575,0,8.9,63.8
2023-04-17,3296260,75495,5360297,112309.01149425287,467260,1422.849993,794.876034,21963.669983,25084.152413,549.2680454942528,238625.9903,43781.29,70025.38,3104.0949424827586,27933.69,177136.4347826087,15300.92,125366.000267,177136.4347826087,16,0.9350162426854148,-0.3546048870425354,0,8.9,63.8
2023-04-24,3793430,39616,4887907,112309.01149425287,315881,1415.409995,825.925,23379.339984,26221.453776,549.2680454942528,281379.2008,40389.54,75994.539999,3104.0949424827586,24773.21,177136.4347826087,25118.38,155493.070825,177136.4347826087,17,0.8854560256532099,-0.4647231720437685,0,8.9,63.8
2023-05-01,4157457,86652,5689027,112309.01149425287,336758,1332.659995,822.567615,23920.199981,27923.495805,549.2680454942528,295090.528,40091.1,94019.35,3104.0949424827586,28339.87,177136.4347826087,14813.27,157918.038024,177136.4347826087,18,0.8229838658936565,-0.5680647467311557,1,13.4,18.6
2023-05-08,4111255,73653,4955782,112309.01149425287,419838,1484.789993,947.675703,23460.149974,25594.300055,549.2680454942528,354745.9994,42215.35,117418.89,3104.0949424827586,42091.01,177136.4347826087,9761.7,185474.399405,177136.4347826087,19,0.7485107481711013,-0.663122658240795,1,13.4,18.6
2023-05-15,4111430,109086,5148251,112309.01149425287,424666,1544.989998,1000.331424,24167.579987,26801.078406,549.2680454942528,230501.8034,24275.22,80011.879999,3104.0949424827586,7895.98,177136.4347826087,8301.61,134292.333428,177136.4347826087,20,0.6631226582407952,-0.7485107481711012,0,13.4,18.6
2023-05-22,4082157,43934,5581049,112309.01149425287,390584,1119.769998,1001.0,25915.759984,27862.878081,549.2680454942528,261650.6178,21816.65,92868.21,3104.0949424827586,5034.43,177136.4347826087,21309.25,142438.727835,177136.4347826087,21,0.5680647467311558,-0.8229838658936564,0,13.4,18.6
2023-05-29,3703655,201555,5538724,112309.01149425287,330406,1815.129994,821.120332,22885.029986,30079.653542,549.2680454942528,301327.0744,21524.65,96557.399997,3104.0949424827586,14798.44,177136.4347826087,23176.17,166795.064371,177136.4347826087,22,0.464723172043769,-0.8854560256532096,1,13.4,18.6
