Date,CPIH
1989-01-02,5.8
1989-01-09,5.8
1989-01-16,5.8
1989-01-23,5.8
1989-01-30,5.8
1989-02-06,5.8
1989-02-13,5.8
1989-02-20,5.8
1989-02-27,5.8
1989-03-06,5.8
1989-03-13,5.8
1989-03-20,5.8
1989-03-27,5.8
1989-04-03,5.8
1989-04-10,5.8
1989-04-17,5.8
1989-04-24,5.8
1989-05-01,5.8
1989-05-08,5.8
1989-05-15,5.8
1989-05-22,5.8
1989-05-29,5.8
1989-06-05,5.8
1989-06-12,5.8
1989-06-19,5.8
1989-06-26,5.8
1989-07-03,5.6
1989-07-10,5.6
1989-07-17,5.6
1989-07-24,5.6
1989-07-31,5.6
1989-08-07,5.6
1989-08-14,5.6
1989-08-21,5.6
1989-08-28,5.6
1989-09-04,5.6
1989-09-11,5.6
1989-09-18,5.6
1989-09-25,5.6
1989-10-02,5.7
1989-10-09,5.7
1989-10-16,5.7
1989-10-23,5.7
1989-10-30,5.7
1989-11-06,5.7
1989-11-13,5.7
1989-11-20,5.7
1989-11-27,5.7
1989-12-04,5.7
1989-12-11,5.7
1989-12-18,5.7
1989-12-25,5.7
1990-01-01,6.1
1990-01-08,6.1
1990-01-15,6.1
1990-01-22,6.1
1990-01-29,6.1
1990-02-05,6.1
1990-02-12,6.1
1990-02-19,6.1
1990-02-26,6.1
1990-03-05,6.1
1990-03-12,6.1
1990-03-19,6.1
1990-03-26,6.1
1990-04-02,8.0
1990-04-09,8.0
1990-04-16,8.0
1990-04-23,8.0
1990-04-30,8.0
1990-05-07,8.0
1990-05-14,8.0
1990-05-21,8.0
1990-05-28,8.0
1990-06-04,8.0
1990-06-11,8.0
1990-06-18,8.0
1990-06-25,8.0
1990-07-02,8.8
1990-07-09,8.8
1990-07-16,8.8
1990-07-23,8.8
1990-07-30,8.8
1990-08-06,8.8
1990-08-13,8.8
1990-08-20,8.8
1990-08-27,8.8
1990-09-03,8.8
1990-09-10,8.8
1990-09-17,8.8
1990-09-24,8.8
1990-10-01,9.2
1990-10-08,9.2
1990-10-15,9.2
1990-10-22,9.2
1990-10-29,9.2
1990-11-05,9.2
1990-11-12,9.2
1990-11-19,9.2
1990-11-26,9.2
1990-12-03,9.2
1990-12-10,9.2
1990-12-17,9.2
1990-12-24,9.2
1990-12-31,9.2
1991-01-07,8.4
1991-01-14,8.4
1991-01-21,8.4
1991-01-28,8.4
1991-02-04,8.4
1991-02-11,8.4
1991-02-18,8.4
1991-02-25,8.4
1991-03-04,8.4
1991-03-11,8.4
1991-03-18,8.4
1991-03-25,8.4
1991-04-01,7.7
1991-04-08,7.7
1991-04-15,7.7
1991-04-22,7.7
1991-04-29,7.7
1991-05-06,7.7
1991-05-13,7.7
1991-05-20,7.7
1991-05-27,7.7
1991-06-03,7.7
1991-06-10,7.7
1991-06-17,7.7
1991-06-24,7.7
1991-07-01,7.3
1991-07-08,7.3
1991-07-15,7.3
1991-07-22,7.3
1991-07-29,7.3
1991-08-05,7.3
1991-08-12,7.3
1991-08-19,7.3
1991-08-26,7.3
1991-09-02,7.3
1991-09-09,7.3
1991-09-16,7.3
1991-09-23,7.3
1991-09-30,7.3
1991-10-07,6.5
1991-10-14,6.5
1991-10-21,6.5
1991-10-28,6.5
1991-11-04,6.5
1991-11-11,6.5
1991-11-18,6.5
1991-11-25,6.5
1991-12-02,6.5
1991-12-09,6.5
1991-12-16,6.5
1991-12-23,6.5
1991-12-30,6.5
1992-01-06,6.3
1992-01-13,6.3
1992-01-20,6.3
1992-01-27,6.3
1992-02-03,6.3
1992-02-10,6.3
1992-02-17,6.3
1992-02-24,6.3
1992-03-02,6.3
1992-03-09,6.3
1992-03-16,6.3
1992-03-23,6.3
1992-03-30,6.3
1992-04-06,5.0
1992-04-13,5.0
1992-04-20,5.0
1992-04-27,5.0
1992-05-04,5.0
1992-05-11,5.0
1992-05-18,5.0
1992-05-25,5.0
1992-06-01,5.0
1992-06-08,5.0
1992-06-15,5.0
1992-06-22,5.0
1992-06-29,5.0
1992-07-06,4.0
1992-07-13,4.0
1992-07-20,4.0
1992-07-27,4.0
1992-08-03,4.0
1992-08-10,4.0
1992-08-17,4.0
1992-08-24,4.0
1992-08-31,4.0
1992-09-07,4.0
1992-09-14,4.0
1992-09-21,4.0
1992-09-28,4.0
1992-10-05,3.3
1992-10-12,3.3
1992-10-19,3.3
1992-10-26,3.3
1992-11-02,3.3
1992-11-09,3.3
1992-11-16,3.3
1992-11-23,3.3
1992-11-30,3.3
1992-12-07,3.3
1992-12-14,3.3
1992-12-21,3.3
1992-12-28,3.3
1993-01-04,3.1
1993-01-11,3.1
1993-01-18,3.1
1993-01-25,3.1
1993-02-01,3.1
1993-02-08,3.1
1993-02-15,3.1
1993-02-22,3.1
1993-03-01,3.1
1993-03-08,3.1
1993-03-15,3.1
1993-03-22,3.1
1993-03-29,3.1
1993-04-05,2.3
1993-04-12,2.3
1993-04-19,2.3
1993-04-26,2.3
1993-05-03,2.3
1993-05-10,2.3
1993-05-17,2.3
